Age,Temperature_C,Heart_Rate_BPM,Respiratory_Rate_BPM,Weight_Change_Percent,Food_Intake_Percent,Stool_Consistency,Activity_Level,Edema,Trunk_Moisture,Mucous_Membrane,Gait_Score,Health_Status,Diagnosis
4,40.3,66,22,-3.2,46,Loose,Low (Lethargic),Mild,Moist,Pale,Stiff,Infection,Bacterial/Viral Infection
54,38.5,38,20,-3.6,57,Normal,Moderate,None,Dry,Pale,Normal,Dehydration,Severe Dehydration
37,36.7,27,13,0.8,94,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
59,38.9,68,28,-1.2,32,Loose,Low (Lethargic),Mild,Dry,Pale,Normal,Infection,Bacterial/Viral Infection
59,37.3,43,10,-0.4,27,Constipated,High,None,Moist,Pale,Normal,Indigestion,Colic / Digestion Issue
3,36.1,36,13,0.1,94,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
26,36.4,33,13,-0.1,92,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
26,37.0,28,11,0.9,99,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
32,36.1,43,9,-1.8,71,Normal,Low (Lethargic),Severe,Moist,Pink,Lameness,Arthritis,Joint Inflammation
46,36.4,25,8,0.9,95,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
42,36.1,37,12,-0.8,91,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
31,38.8,57,17,-1.7,58,Normal,Moderate,None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
59,36.6,45,15,0.2,75,Normal,Low (Lethargic),Mild,Moist,Pink,Stiff,Arthritis,Joint Inflammation
25,37.7,39,17,-1.9,36,Constipated,Moderate,None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
27,36.4,43,15,-0.0,70,Normal,Moderate,Mild,Moist,Pink,Stiff,Arthritis,Joint Inflammation
17,37.2,39,15,-2.7,13,Loose,Low (Lethargic),None,Moist,Pink,Normal,Indigestion,Colic / Digestion Issue
5,37.2,30,10,0.2,90,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
33,37.1,34,6,-1.5,86,Normal,Low (Lethargic),Mild,Moist,Pink,Stiff,Arthritis,Joint Inflammation
14,38.7,49,20,-2.5,70,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
29,39.2,46,29,-2.4,34,Normal,Low (Lethargic),Mild,Moist,Dry/Tacky,Stiff,Infection,Bacterial/Viral Infection
47,38.7,54,20,-2.6,50,Normal,Moderate,None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
25,36.7,27,14,0.4,91,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
60,35.9,32,10,-0.6,90,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
32,37.0,44,10,0.1,86,Normal,Low (Lethargic),Mild,Moist,Pink,Stiff,Arthritis,Joint Inflammation
